"lab2","population","treatment","flask","species","day","latbb80","latbb50","latbb1"
"mp.HC.HP.LF.2.corsto.1","mp","HC.HP.LF",2,"corsto",16,24,16,16
"mp.HC.HP.LF.2.sorsco.1","mp","HC.HP.LF",2,"sorsco",8,NA,NA,NA
"mp.HC.HP.LF.20.amealn.1","mp","HC.HP.LF",20,"amealn",10,27,12,10
"mp.HC.HP.LF.20.rhoalb.1","mp","HC.HP.LF",20,"rhoalb",10,16,16,16
"mp.HC.HP.LF.20.sorsco.1","mp","HC.HP.LF",20,"sorsco",27,NA,NA,NA
"mp.HC.HP.LF.21.popbal.1","mp","HC.HP.LF",21,"popbal",27,NA,NA,NA
"mp.HC.HP.LF.21.samrac.1","mp","HC.HP.LF",21,"samrac",31,27,16,16
"mp.HC.HP.LF.21.sorsco.1","mp","HC.HP.LF",21,"sorsco",16,30,22,20
"mp.HC.HP.LF.21.vibedu.1","mp","HC.HP.LF",21,"vibedu",27,NA,27,16
"mp.HC.HP.LF.22.spipyr.1","mp","HC.HP.LF",22,"spipyr",20,NA,20,20
"mp.HC.HP.LF.23.alnvir.1","mp","HC.HP.LF",23,"alnvir",61,61,58,58
"mp.HC.HP.LF.23.samrac.1","mp","HC.HP.LF",23,"samrac",23,NA,43,43
"mp.HC.HP.LF.23.shecan.1","mp","HC.HP.LF",23,"shecan",20,30,27,20
"mp.HC.HP.LF.24.alninc.1","mp","HC.HP.LF",24,"alninc",20,27,27,27
"mp.HC.HP.LF.24.poptre.1","mp","HC.HP.LF",24,"poptre",52,58,55,49
"mp.HC.HP.LF.24.vibedu.1","mp","HC.HP.LF",24,"vibedu",20,23,20,20
"mp.HC.HP.LF.25.acegla.1","mp","HC.HP.LF",25,"acegla",43,NA,NA,NA
"mp.HC.HP.LF.25.alnvir.1","mp","HC.HP.LF",25,"alnvir",61,73,67,49
"mp.HC.HP.LF.25.corsto.1","mp","HC.HP.LF",25,"corsto",13,20,13,13
"mp.HC.HP.LF.26.acegla.1","mp","HC.HP.LF",26,"acegla",20,NA,NA,NA
"mp.HC.HP.LF.26.alninc.1","mp","HC.HP.LF",26,"alninc",20,27,20,20
"mp.HC.HP.LF.26.poptre.1","mp","HC.HP.LF",26,"poptre",52,58,52,52
"mp.HC.HP.LF.26.shecan.1","mp","HC.HP.LF",26,"shecan",27,33,27,23
"mp.HC.HP.LF.27.poptre.1","mp","HC.HP.LF",27,"poptre",46,49,49,49
"mp.HC.HP.LF.27.sorsco.1","mp","HC.HP.LF",27,"sorsco",20,NA,NA,NA
"mp.HC.HP.LF.27.vacmem.1","mp","HC.HP.LF",27,"vacmem",20,24,20,20
