"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1","treatment"
"163","mp.HC.HP.LF.1.shecan.2","mp","HC","HP","LF",1,"shecan",22,1,NA,36,27,"HC.HP.LF"
"164","mp.HC.HP.LF.10.alninc.1","mp","HC","HP","LF",10,"alninc",24,1,NA,NA,NA,"HC.HP.LF"
"165","mp.HC.HP.LF.10.menfer.1","mp","HC","HP","LF",10,"menfer",43,1,49,43,43,"HC.HP.LF"
"166","mp.HC.HP.LF.10.popbal.1","mp","HC","HP","LF",10,"popbal",27,1,NA,NA,NA,"HC.HP.LF"
"167","mp.HC.HP.LF.10.popbal.2","mp","HC","HP","LF",10,"popbal",27,1,36,36,36,"HC.HP.LF"
"168","mp.HC.HP.LF.11.amealn.1","mp","HC","HP","LF",11,"amealn",13,1,20,20,20,"HC.HP.LF"
"169","mp.HC.HP.LF.11.popbal.1","mp","HC","HP","LF",11,"popbal",27,1,NA,NA,NA,"HC.HP.LF"
"170","mp.HC.HP.LF.11.shecan.1","mp","HC","HP","LF",11,"shecan",20,1,33,30,20,"HC.HP.LF"
"171","mp.HC.HP.LF.11.symalb.1","mp","HC","HP","LF",11,"symalb",16,1,33,20,16,"HC.HP.LF"
"172","mp.HC.HP.LF.12.poptre.1","mp","HC","HP","LF",12,"poptre",NA,0,NA,NA,NA,"HC.HP.LF"
"173","mp.HC.HP.LF.12.samrac.1","mp","HC","HP","LF",12,"samrac",20,1,NA,NA,NA,"HC.HP.LF"
"174","mp.HC.HP.LF.12.shecan.1","mp","HC","HP","LF",12,"shecan",24,1,NA,43,27,"HC.HP.LF"
"175","mp.HC.HP.LF.12.spibet.1","mp","HC","HP","LF",12,"spibet",17,1,NA,NA,17,"HC.HP.LF"
"176","mp.HC.HP.LF.13.acegla.1","mp","HC","HP","LF",13,"acegla",27,1,NA,NA,NA,"HC.HP.LF"
"177","mp.HC.HP.LF.13.alninc.1","mp","HC","HP","LF",13,"alninc",16,1,20,20,16,"HC.HP.LF"
"178","mp.HC.HP.LF.13.rhoalb.1","mp","HC","HP","LF",13,"rhoalb",16,1,NA,NA,27,"HC.HP.LF"
"179","mp.HC.HP.LF.13.symalb.1","mp","HC","HP","LF",13,"symalb",13,1,NA,24,13,"HC.HP.LF"
"180","mp.HC.HP.LF.14.alninc.1","mp","HC","HP","LF",14,"alninc",36,1,39,36,36,"HC.HP.LF"
