"lab2","population","treatment","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"mp.HC.HP.HF.37.rubpar.1","mp","HC.HP.HF",37,"rubpar",17,1,NA,NA,17
"mp.HC.HP.HF.37.symalb.1","mp","HC.HP.HF",37,"symalb",13,1,NA,NA,13
"mp.HC.HP.HF.37.vibedu.1","mp","HC.HP.HF",37,"vibedu",19,1,NA,NA,NA
"mp.HC.HP.HF.38.corsto.1","mp","HC.HP.HF",38,"corsto",7,1,10,10,7
"mp.HC.HP.HF.38.popbal.1","mp","HC.HP.HF",38,"popbal",17,1,NA,NA,NA
"mp.HC.HP.HF.38.riblac.1","mp","HC.HP.HF",38,"riblac",26,1,NA,NA,26
"mp.HC.HP.HF.38.vacmem.1","mp","HC.HP.HF",38,"vacmem",10,1,NA,NA,10
"mp.HC.HP.HF.39.alnvir.1","mp","HC.HP.HF",39,"alnvir",23,1,26,26,23
"mp.HC.HP.HF.39.menfer.1","mp","HC.HP.HF",39,"menfer",23,1,37,28,23
"mp.HC.HP.HF.39.rhoalb.1","mp","HC.HP.HF",39,"rhoalb",13,1,NA,NA,13
"mp.HC.HP.HF.39.sorsco.1","mp","HC.HP.HF",39,"sorsco",13,1,NA,NA,NA
"mp.HC.HP.HF.4.popbal.1","mp","HC.HP.HF",4,"popbal",19,1,19,19,19
"mp.HC.HP.HF.4.sorsco.1","mp","HC.HP.HF",4,"sorsco",13,1,16,13,13
"mp.HC.HP.HF.4.symalb.1","mp","HC.HP.HF",4,"symalb",10,1,26,10,10
"mp.HC.HP.HF.4.vacmem.1","mp","HC.HP.HF",4,"vacmem",16,1,NA,NA,16
"mp.HC.HP.HF.40.alnvir.1","mp","HC.HP.HF",40,"alnvir",19,1,22,22,19
"mp.HC.HP.HF.40.corsto.1","mp","HC.HP.HF",40,"corsto",10,1,19,10,10
"mp.HC.HP.HF.40.spipyr.1","mp","HC.HP.HF",40,"spipyr",10,1,NA,26,10
"mp.HC.HP.HF.40.vibedu.1","mp","HC.HP.HF",40,"vibedu",10,1,NA,NA,10
"mp.HC.HP.HF.5.alnvir.1","mp","HC.HP.HF",5,"alnvir",34,1,57,57,34
"mp.HC.HP.HF.5.corsto.1","mp","HC.HP.HF",5,"corsto",7,1,10,10,7
"mp.HC.HP.HF.5.menfer.1","mp","HC.HP.HF",5,"menfer",40,1,72,48,40
"mp.HC.HP.HF.5.symalb.1","mp","HC.HP.HF",5,"symalb",10,1,NA,13,10
"mp.HC.HP.HF.6.loninv.1","mp","HC.HP.HF",6,"loninv",5,1,NA,NA,NA
"mp.HC.HP.HF.6.rubpar.1","mp","HC.HP.HF",6,"rubpar",19,1,NA,31,19
"mp.HC.HP.HF.6.spipyr.1","mp","HC.HP.HF",6,"spipyr",7,1,7,7,7
"mp.HC.HP.HF.6.symalb.1","mp","HC.HP.HF",6,"symalb",10,1,NA,10,10
"mp.HC.HP.HF.7.alnvir.1","mp","HC.HP.HF",7,"alnvir",31,1,48,31,31
"mp.HC.HP.HF.7.popbal.1","mp","HC.HP.HF",7,"popbal",19,1,19,19,19
"mp.HC.HP.HF.7.rubpar.1","mp","HC.HP.HF",7,"rubpar",19,1,NA,19,19
"mp.HC.HP.HF.7.shecan.1","mp","HC.HP.HF",7,"shecan",16,1,28,26,16
"mp.HC.HP.HF.8.acegla.1","mp","HC.HP.HF",8,"acegla",19,1,NA,34,31
"mp.HC.HP.HF.8.alninc.1","mp","HC.HP.HF",8,"alninc",10,1,16,13,13
"mp.HC.HP.HF.8.poptre.1","mp","HC.HP.HF",8,"poptre",31,1,NA,37,31
"mp.HC.HP.HF.8.rubpar.1","mp","HC.HP.HF",8,"rubpar",19,1,NA,19,19
"mp.HC.HP.HF.9.corsto.1","mp","HC.HP.HF",9,"corsto",10,1,10,10,10
"mp.HC.HP.HF.9.riblac.1","mp","HC.HP.HF",9,"riblac",19,1,NA,NA,19
"mp.HC.HP.HF.9.rubpar.1","mp","HC.HP.HF",9,"rubpar",19,1,NA,NA,19
"mp.HC.HP.HF.9.vacmem.1","mp","HC.HP.HF",9,"vacmem",13,1,NA,NA,13
"mp.HC.HP.LF.1.amealn.1","mp","HC.HP.LF",1,"amealn",20,1,24,24,20
"mp.HC.HP.LF.1.menfer.1","mp","HC.HP.LF",1,"menfer",49,1,NA,82,49
"mp.HC.HP.LF.1.shecan.1","mp","HC.HP.LF",1,"shecan",24,1,27,27,24
"mp.HC.HP.LF.1.shecan.2","mp","HC.HP.LF",1,"shecan",24,1,NA,36,27
"mp.HC.HP.LF.10.alninc.1","mp","HC.HP.LF",10,"alninc",24,1,NA,NA,NA
"mp.HC.HP.LF.10.menfer.1","mp","HC.HP.LF",10,"menfer",43,1,49,43,43
"mp.HC.HP.LF.10.popbal.1","mp","HC.HP.LF",10,"popbal",27,1,NA,NA,NA
"mp.HC.HP.LF.10.popbal.2","mp","HC.HP.LF",10,"popbal",27,1,36,36,36
"mp.HC.HP.LF.11.amealn.1","mp","HC.HP.LF",11,"amealn",13,1,20,20,20
"mp.HC.HP.LF.11.popbal.1","mp","HC.HP.LF",11,"popbal",27,1,NA,NA,NA
"mp.HC.HP.LF.11.shecan.1","mp","HC.HP.LF",11,"shecan",20,1,33,30,20
"mp.HC.HP.LF.11.symalb.1","mp","HC.HP.LF",11,"symalb",16,1,33,20,16
"mp.HC.HP.LF.12.poptre.1","mp","HC.HP.LF",12,"poptre",NA,0,NA,NA,NA
"mp.HC.HP.LF.12.samrac.1","mp","HC.HP.LF",12,"samrac",20,1,NA,NA,NA
"mp.HC.HP.LF.12.shecan.1","mp","HC.HP.LF",12,"shecan",24,1,NA,43,27
"mp.HC.HP.LF.12.spibet.1","mp","HC.HP.LF",12,"spibet",19,1,NA,NA,19
"mp.HC.HP.LF.13.acegla.1","mp","HC.HP.LF",13,"acegla",27,1,NA,NA,NA
"mp.HC.HP.LF.13.alninc.1","mp","HC.HP.LF",13,"alninc",16,1,20,20,16
"mp.HC.HP.LF.13.rhoalb.1","mp","HC.HP.LF",13,"rhoalb",16,1,NA,NA,27
"mp.HC.HP.LF.13.symalb.1","mp","HC.HP.LF",13,"symalb",13,1,NA,24,13
"mp.HC.HP.LF.14.alninc.1","mp","HC.HP.LF",14,"alninc",36,1,39,36,36
"mp.HC.HP.LF.14.alninc.2","mp","HC.HP.LF",14,"alninc",24,1,30,30,27
"mp.HC.HP.LF.14.menfer.1","mp","HC.HP.LF",14,"menfer",52,1,NA,NA,52
"mp.HC.HP.LF.14.spipyr.1","mp","HC.HP.LF",14,"spipyr",24,1,NA,84,24
"mp.HC.HP.LF.15.menfer.1","mp","HC.HP.LF",15,"menfer",33,1,43,36,33
"mp.HC.HP.LF.15.popbal.1","mp","HC.HP.LF",15,"popbal",27,1,27,27,27
"mp.HC.HP.LF.15.spipyr.1","mp","HC.HP.LF",15,"spipyr",33,1,NA,NA,33
"mp.HC.HP.LF.15.symalb.1","mp","HC.HP.LF",15,"symalb",27,1,NA,33,27
"mp.HC.HP.LF.16.poptre.1","mp","HC.HP.LF",16,"poptre",52,1,52,52,52
"mp.HC.HP.LF.16.shecan.1","mp","HC.HP.LF",16,"shecan",30,1,39,36,30
"mp.HC.HP.LF.16.symalb.1","mp","HC.HP.LF",16,"symalb",20,1,27,24,20
"mp.HC.HP.LF.16.vibedu.1","mp","HC.HP.LF",16,"vibedu",13,1,NA,16,13
"mp.HC.HP.LF.17.corsto.1","mp","HC.HP.LF",17,"corsto",16,1,NA,16,16
"mp.HC.HP.LF.17.rhoalb.1","mp","HC.HP.LF",17,"rhoalb",20,1,NA,NA,42
"mp.HC.HP.LF.17.riblac.1","mp","HC.HP.LF",17,"riblac",42,1,NA,82,42
"mp.HC.HP.LF.17.rubpar.1","mp","HC.HP.LF",17,"rubpar",30,1,39,39,30
"mp.HC.HP.LF.18.acegla.1","mp","HC.HP.LF",18,"acegla",39,1,NA,76,39
"mp.HC.HP.LF.18.alninc.1","mp","HC.HP.LF",18,"alninc",16,1,20,20,16
