"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"179","mp.HC.HP.LF.13.symalb.1","mp","HC","HP","LF",13,"symalb",13,1,NA,24,13
"180","mp.HC.HP.LF.14.alninc.1","mp","HC","HP","LF",14,"alninc",36,1,39,36,36
"181","mp.HC.HP.LF.14.alninc.2","mp","HC","HP","LF",14,"alninc",23,1,30,30,27
"182","mp.HC.HP.LF.14.menfer.1","mp","HC","HP","LF",14,"menfer",52,1,NA,NA,52
"183","mp.HC.HP.LF.14.spipyr.1","mp","HC","HP","LF",14,"spipyr",23,1,NA,84,23
"184","mp.HC.HP.LF.15.menfer.1","mp","HC","HP","LF",15,"menfer",33,1,43,36,33
"185","mp.HC.HP.LF.15.popbal.1","mp","HC","HP","LF",15,"popbal",27,1,27,27,27
"186","mp.HC.HP.LF.15.spipyr.1","mp","HC","HP","LF",15,"spipyr",33,1,NA,NA,33
"187","mp.HC.HP.LF.15.symalb.1","mp","HC","HP","LF",15,"symalb",27,1,NA,33,27
"188","mp.HC.HP.LF.16.poptre.1","mp","HC","HP","LF",16,"poptre",52,1,52,52,52
"189","mp.HC.HP.LF.16.shecan.1","mp","HC","HP","LF",16,"shecan",30,1,39,36,30
"190","mp.HC.HP.LF.16.symalb.1","mp","HC","HP","LF",16,"symalb",20,1,27,24,20
"191","mp.HC.HP.LF.16.vibedu.1","mp","HC","HP","LF",16,"vibedu",13,1,NA,16,13
"192","mp.HC.HP.LF.17.corsto.1","mp","HC","HP","LF",17,"corsto",16,1,NA,16,16
"193","mp.HC.HP.LF.17.rhoalb.1","mp","HC","HP","LF",17,"rhoalb",20,1,NA,NA,42
"194","mp.HC.HP.LF.17.riblac.1","mp","HC","HP","LF",17,"riblac",42,1,NA,82,42
"195","mp.HC.HP.LF.17.rubpar.1","mp","HC","HP","LF",17,"rubpar",30,1,39,39,30
"196","mp.HC.HP.LF.18.acegla.1","mp","HC","HP","LF",18,"acegla",39,1,NA,76,39
"197","mp.HC.HP.LF.18.alninc.1","mp","HC","HP","LF",18,"alninc",16,1,20,20,16
"198","mp.HC.HP.LF.18.alnvir.1","mp","HC","HP","LF",18,"alnvir",42,1,46,46,42
"199","mp.HC.HP.LF.18.sorsco.1","mp","HC","HP","LF",18,"sorsco",20,1,NA,NA,NA
"200","mp.HC.HP.LF.19.poptre.1","mp","HC","HP","LF",19,"poptre",58,1,NA,70,61
"201","mp.HC.HP.LF.19.rubpar.1","mp","HC","HP","LF",19,"rubpar",27,1,NA,NA,27
"202","mp.HC.HP.LF.19.symalb.1","mp","HC","HP","LF",19,"symalb",16,1,NA,30,16
"203","mp.HC.HP.LF.19.vibedu.1","mp","HC","HP","LF",19,"vibedu",16,1,NA,NA,16
"204","mp.HC.HP.LF.2.corsto.1","mp","HC","HP","LF",2,"corsto",16,1,24,16,16
"205","mp.HC.HP.LF.2.rubpar.1","mp","HC","HP","LF",2,"rubpar",30,1,NA,33,30
"206","mp.HC.HP.LF.2.rubpar.2","mp","HC","HP","LF",2,"rubpar",33,1,NA,36,33
"207","mp.HC.HP.LF.2.sorsco.1","mp","HC","HP","LF",2,"sorsco",8,1,NA,NA,NA
"208","mp.HC.HP.LF.20.amealn.1","mp","HC","HP","LF",20,"amealn",10,1,27,12,10
"209","mp.HC.HP.LF.20.menfer.1","mp","HC","HP","LF",20,"menfer",58,1,NA,67,58
"210","mp.HC.HP.LF.20.rhoalb.1","mp","HC","HP","LF",20,"rhoalb",10,1,16,16,16
"211","mp.HC.HP.LF.20.sorsco.1","mp","HC","HP","LF",20,"sorsco",27,1,NA,NA,NA
"212","mp.HC.HP.LF.21.popbal.1","mp","HC","HP","LF",21,"popbal",27,1,NA,NA,NA
"213","mp.HC.HP.LF.21.samrac.1","mp","HC","HP","LF",21,"samrac",16,1,27,16,16
"214","mp.HC.HP.LF.21.sorsco.1","mp","HC","HP","LF",21,"sorsco",16,1,30,22,20
"215","mp.HC.HP.LF.21.vibedu.1","mp","HC","HP","LF",21,"vibedu",16,1,NA,27,16
"216","mp.HC.HP.LF.22.loninv.1","mp","HC","HP","LF",22,"loninv",84,1,NA,NA,84
"217","mp.HC.HP.LF.22.loninv.2","mp","HC","HP","LF",22,"loninv",30,1,NA,NA,30
"218","mp.HC.HP.LF.22.riblac.1","mp","HC","HP","LF",22,"riblac",33,1,49,36,33
"219","mp.HC.HP.LF.22.spipyr.1","mp","HC","HP","LF",22,"spipyr",20,1,NA,20,20
"220","mp.HC.HP.LF.23.alnvir.1","mp","HC","HP","LF",23,"alnvir",58,1,61,58,58
"221","mp.HC.HP.LF.23.samrac.1","mp","HC","HP","LF",23,"samrac",23,1,NA,43,43
"222","mp.HC.HP.LF.23.shecan.1","mp","HC","HP","LF",23,"shecan",20,1,30,27,20
"223","mp.HC.HP.LF.23.spipyr.1","mp","HC","HP","LF",23,"spipyr",20,1,58,27,20
"224","mp.HC.HP.LF.24.alninc.1","mp","HC","HP","LF",24,"alninc",20,1,27,27,27
"225","mp.HC.HP.LF.24.poptre.1","mp","HC","HP","LF",24,"poptre",49,1,58,55,49
"226","mp.HC.HP.LF.24.spibet.1","mp","HC","HP","LF",24,"spibet",20,1,NA,NA,20
"227","mp.HC.HP.LF.24.vibedu.1","mp","HC","HP","LF",24,"vibedu",20,1,23,20,20
"228","mp.HC.HP.LF.25.acegla.1","mp","HC","HP","LF",25,"acegla",43,1,NA,NA,NA
"229","mp.HC.HP.LF.25.alnvir.1","mp","HC","HP","LF",25,"alnvir",49,1,73,67,49
"230","mp.HC.HP.LF.25.corsto.1","mp","HC","HP","LF",25,"corsto",13,1,20,13,13
"231","mp.HC.HP.LF.25.menfer.1","mp","HC","HP","LF",25,"menfer",49,1,NA,NA,49
"232","mp.HC.HP.LF.26.acegla.1","mp","HC","HP","LF",26,"acegla",20,1,NA,NA,NA
"233","mp.HC.HP.LF.26.alninc.1","mp","HC","HP","LF",26,"alninc",20,1,27,20,20
"234","mp.HC.HP.LF.26.poptre.1","mp","HC","HP","LF",26,"poptre",52,1,58,52,52
"235","mp.HC.HP.LF.26.shecan.1","mp","HC","HP","LF",26,"shecan",23,1,33,27,23
"236","mp.HC.HP.LF.27.poptre.1","mp","HC","HP","LF",27,"poptre",46,1,49,49,49
"237","mp.HC.HP.LF.27.sorsco.1","mp","HC","HP","LF",27,"sorsco",20,1,NA,NA,NA
"238","mp.HC.HP.LF.27.vacmem.1","mp","HC","HP","LF",27,"vacmem",20,1,24,20,20
"239","mp.HC.HP.LF.27.vacmem.2","mp","HC","HP","LF",27,"vacmem",NA,0,NA,NA,NA
"240","mp.HC.HP.LF.28.amealn.1","mp","HC","HP","LF",28,"amealn",13,1,22,20,13
"241","mp.HC.HP.LF.28.rhoalb.1","mp","HC","HP","LF",28,"rhoalb",13,1,NA,NA,13
"242","mp.HC.HP.LF.28.riblac.1","mp","HC","HP","LF",28,"riblac",20,1,NA,49,30
"243","mp.HC.HP.LF.28.sorsco.1","mp","HC","HP","LF",28,"sorsco",27,1,NA,NA,NA
