day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.l,percent4.l,
16,mp,LHH,10,22,alninc,1,100,1,0,100,NA,NA,NA,NA,7,NA,NA,NA,
16,mp,LHH,10,22,spibet,7,100,1,3,70,1,30,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,22,corsto,7,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,22,riblac,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,22,shecan,3,100,1,3,60,1,30,0,10,NA,NA,NA,NA,
16,sm,LHH,NA,22,spibet,7,80,5,7,20,3,60,1,15,NA,NA,NA,NA,
16,sm,LHH,NA,22,spipyr,1,100,1,7,10,3,80,1,20,NA,NA,NA,NA,
16,mp,LHH,NA,23,alnvir,1,50,2,1,40,0,60,NA,NA,5,NA,NA,NA,
16,mp,LHH,NA,23,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,23,rhoalb,7,50,4,1,50,0,50,NA,NA,NA,NA,3,50,
16,mp,LHH,NA,23,vacmem,1,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,23,alnvir,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,23,betpap,0,100,1,1,80,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,23,menfer,0,100,7,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,5,24,poptre,1,100,2,1,100,NA,NA,NA,NA,2,NA,NA,NA,
16,mp,LHH,13,24,sorsco,3,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,9,24,symalb,NA,NA,NA,1,20,0,80,NA,NA,NA,NA,NA,NA,
16,mp,LHH,wjt,24,vacmem,1,20,NA,1,20,0,80,NA,NA,NA,NA,0,80,
16,sm,LHH,NA,24,acegla,3,100,2,3,50,1,40,0,10,NA,NA,NA,NA,
16,sm,LHH,19,24,alnvir,3,100,1,3,65,1,35,NA,NA,14,NA,NA,NA,
16,sm,LHH,11,24,loninv,9,100,1,3,80,1,20,NA,NA,12,NA,NA,NA,
16,sm,LHH,NA,24,sorsco,10,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,25,alninc,1,100,1,0,100,NA,NA,NA,NA,6,NA,NA,NA,
16,mp,LHH,NA,25,amealn,7,75,4,7,5,3,25,1,50,42,NA,NA,NA,
16,mp,LHH,NA,25,corsto,7,100,1,9,25,7,25,3,25,NA,NA,NA,NA,
16,mp,LHH,NA,25,symalb,NA,NA,NA,1,50,0,50,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,25,poptre,1,100,4,1,60,0,40,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,25,shecan,3,70,3,3,90,1,10,NA,NA,60,NA,NA,NA,
16,sm,LHH,NA,25,spipyr,7,100,2,9,20,3,80,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,25,symalb,NA,NA,NA,3,10,1,50,0,40,NA,NA,NA,NA,
16,mp,LHH,missing!!,26,acegla,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,26,alnvir,3,100,2,3,60,1,20,0,20,9,2 branches,NA,NA,
16,mp,LHH,A,26,vibedu,3,100,1,3,100,NA,NA,NA,NA,6,NA,NA,NA,
16,mp,LHH,NA,26,vibedu,3,100,1,3,100,NA,NA,NA,NA,4,NA,NA,NA,
16,sm,LHH,2,26,acegla,1,100,1,1,50,0,50,NA,NA,NA,NA,NA,NA,
16,sm,LHH,9,26,acegla,3,100,2,1,60,0,40,NA,NA,23,NA,NA,NA,
