site,abbrev,asorscoignment,flask
sm,vacmem,HC_HP_LF,T40-oct21
sm,loninv,HC_HP_LF,T5-10
sm,popbal,HC_HP_LF,T5-8
sm,rubpar,HC_HP_LF,T5
sm,spibet,HC_HP_LF,T5
sm,betpap,HC_HP_LF,T6-B
sm,corsto,HC_HP_LF,T6-13
sm,vibedu,HC_HP_LF,T6-3
sm,menfer,HC_HP_LF,T7-13
sm,spibet,HC_HP_LF,T7
sm,spipyr,HC_HP_LF,T7
sm,vacmem,HC_HP_LF,T7-oct21
sm,betpap,HC_HP_LF,T8-6
sm,riblac,HC_HP_LF,T8-9
sm,spibet,HC_HP_LF,T8-
sm,sorsco,HC_HP_LF,T8
sm,menfer,HC_HP_LF,T9-#3
sm,poptre,HC_HP_LF,T9-8
sm,spibet,HC_HP_LF,T9
Shecan8,,,
sm,menfer,HC_LP_HF,T1-3
sm,spipyr,HC_LP_HF,T1
sm,vibedu,HC_LP_HF,T1-3
Shecan11,,,
sm,menfer,HC_LP_HF,T10-13
sm,spibet,HC_LP_HF,T10
sm,sorsco,HC_LP_HF,T10-xx
sm,vacmem,HC_LP_HF,T10-oct21
sm,alnvir,HC_LP_HF,T11-6
sm,corsto,HC_LP_HF,T11-8
sm,riblac,HC_LP_HF,T11-2
sm,vibedu,HC_LP_HF,T11-11
sm,amealn,HC_LP_HF,T12-6
Shecan12,,,
sm,corsto,HC_LP_HF,T12-10
sm,loninv,HC_LP_HF,T12-9
sm,symalb,HC_LP_HF,T12-cl
sm,alninc,HC_LP_HF,T13-1
sm,corsto,HC_LP_HF,T13-9
sm,popbal,HC_LP_HF,T13-4
sm,alnvir,HC_LP_HF,T14-6
sm,rubpar,HC_LP_HF,T14-w/10
sm,sorsco,HC_LP_HF,T14-12
sm,vibedu,HC_LP_HF,T14-9
sm,betpap,HC_LP_HF,T15-6
sm,poptre,HC_LP_HF,T15-8
sm,symalb,HC_LP_HF,T15-cl
sm,symalb,HC_LP_HF,T15-clw
sm,corsto,HC_LP_HF,T16-b
sm,spipyr,HC_LP_HF,T16-b41
sm,sorsco,HC_LP_HF,T16
Shecan6,,,
sm,alnvir,HC_LP_HF,T17-2
sm,poptre,HC_LP_HF,T17-C
sm,riblac,HC_LP_HF,T17-2
sm,spibet,HC_LP_HF,T17-A22
sm,betpap,HC_LP_HF,T18-6
sm,popbal,HC_LP_HF,T18-A
sm,poptre,HC_LP_HF,T18-8
sm,rubpar,HC_LP_HF,T18-w/10
sm,alninc,HC_LP_HF,T19-4
sm,loninv,HC_LP_HF,T19-11
sm,symalb,HC_LP_HF,T19-3
sm,spibet,HC_LP_HF,T19-A19
sm,menfer,HC_LP_HF,T2-13
sm,symalb,HC_LP_HF,T2-9
sm,sorsco,HC_LP_HF,T2
sm,spipyr,HC_LP_HF,T2
sm,acegla,HC_LP_HF,T20-14
sm,loninv,HC_LP_HF,T20--5
sm,poptre,HC_LP_HF,T20--2
sm,alninc,HC_LP_HF,T21-4
sm,popbal,HC_LP_HF,T21-4
sm,riblac,HC_LP_HF,T21-11
sm,riblac,HC_LP_HF,T21--2
sm,acegla,HC_LP_HF,T22--13
sm,menfer,HC_LP_HF,T22--1
sm,poptre,HC_LP_HF,T22--#2
sm,spipyr,HC_LP_HF,T22--B4
sm,alninc,HC_LP_HF,T23--5
sm,betpap,HC_LP_HF,T23--B
sm,poptre,HC_LP_HF,T23--D
sm,sorsco,HC_LP_HF,T23--7
sm,betpap,HC_LP_HF,T24-6
sm,riblac,HC_LP_HF,T24-9
sm,sorsco,HC_LP_HF,T24
sm,vibedu,HC_LP_HF,T24-3
Shecan12,,,
sm,corsto,HC_LP_HF,T25-c
sm,popbal,HC_LP_HF,T25-8
sm,rubpar,HC_LP_HF,T25
sm,sorsco,HC_LP_HF,T25
sm,acegla,HC_LP_HF,T26--15
sm,betpap,HC_LP_HF,T26--9
sm,sorsco,HC_LP_HF,T26--6
sm,spipyr,HC_LP_HF,T26--9
sm,alninc,HC_LP_HF,T27--5
sm,alnvir,HC_LP_HF,T27--19
sm,riblac,HC_LP_HF,T27-10
sm,sorsco,HC_LP_HF,T27-7
sm,acegla,HC_LP_HF,T28--11
sm,loninv,HC_LP_HF,T28--11
sm,menfer,HC_LP_HF,T28--1
sm,symalb,HC_LP_HF,T28--cl
sm,alnvir,HC_LP_HF,T29-2
sm,popbal,HC_LP_HF,T29-onionB
sm,riblac,HC_LP_HF,T29-2
sm,vibedu,HC_LP_HF,T29-6
sm,loninv,HC_LP_HF,T3-9
sm,poptre,HC_LP_HF,T3-10
sm,sorsco,HC_LP_HF,T3
sm,sorsco,HC_LP_HF,T3
sm,alninc,HC_LP_HF,T30--3
sm,alninc,HC_LP_HF,T30--4
sm,corsto,HC_LP_HF,T30--5
sm,rubpar,HC_LP_HF,T30--with 10
sm,alnvir,HC_LP_HF,T31-6
sm,menfer,HC_LP_HF,T31-9
sm,sorsco,HC_LP_HF,T31-12
sm,amealn,HC_LP_HF,T32-5
sm,menfer,HC_LP_HF,T32-12
sm,symalb,HC_LP_HF,T32
sm,sorsco,HC_LP_HF,T32-1
sm,corsto,HC_LP_HF,T33-C
sm,poptre,HC_LP_HF,T33-10
sm,spibet,HC_LP_HF,T33-BB1
Shecan10,,,
sm,amealn,HC_LP_HF,T34-3
sm,rubpar,HC_LP_HF,T34-cl
sm,rubpar,HC_LP_HF,T34-cl
sm,spipyr,HC_LP_HF,T34-B32
sm,amealn,HC_LP_HF,T35-A
sm,rubpar,HC_LP_HF,T35-cl
sm,spibet,HC_LP_HF,T35-A33
sm,sorsco,HC_LP_HF,T35-1
sm,acegla,HC_LP_HF,T36--11
sm,betpap,HC_LP_HF,T36--B
sm,popbal,HC_LP_HF,T36--3
sm,spipyr,HC_LP_HF,T36--area w/9
sm,betpap,HC_LP_HF,T37-2
sm,vacmem,HC_LP_HF,T37-oct25
sm,vacmem,HC_LP_HF,T37-oct25
sm,vacmem,HC_LP_HF,T37-oct25
sm,alninc,HC_LP_HF,T38-1
sm,popbal,HC_LP_HF,T38-8
sm,spibet,HC_LP_HF,T38-A20
sm,spipyr,HC_LP_HF,T38-B20
sm,amealn,HC_LP_HF,T39-A
sm,menfer,HC_LP_HF,T39-2
sm,symalb,HC_LP_HF,T39-cl
sm,vacmem,HC_LP_HF,T39-oct25
sm,amealn,HC_LP_HF,T4--7
sm,alnvir,HC_LP_HF,T4--10
sm,rubpar,HC_LP_HF,T4--cl
sm,vacmem,HC_LP_HF,T4--Oct21
sm,acegla,HC_LP_HF,T40--14
sm,riblac,HC_LP_HF,T40--11
sm,sorsco,HC_LP_HF,T40--11
sm,acegla,HC_LP_HF,T5--14
sm,loninv,HC_LP_HF,T5--5
sm,spibet,HC_LP_HF,T5--A8
sm,vacmem,HC_LP_HF,T5--10
sm,alnvir,HC_LP_HF,T6--6
sm,betpap,HC_LP_HF,T6--11
sm,vibedu,HC_LP_HF,T6-5
sm,vibedu,HC_LP_HF,T6-6
sm,amealn,HC_LP_HF,T7-6
sm,corsto,HC_LP_HF,T7-10
sm,popbal,HC_LP_HF,T7-5
sm,sorsco,HC_LP_HF,T7-12
sm,loninv,HC_LP_HF,T8-5
sm,vibedu,HC_LP_HF,T8
sm,vacmem,HC_LP_HF,T8-oct25
Shecan7,,,
sm,amealn,HC_LP_HF,T9--7
sm,acegla,HC_LP_HF,T9--10
sm,loninv,HC_LP_HF,T9--11
sm,spibet,HC_LP_HF,T9--A3
sm,alninc,HC_LP_LF,T1-4
sm,loninv,HC_LP_LF,T1-11
sm,sorsco,HC_LP_LF,T1-5
sm,betpap,HC_LP_LF,T10-6
sm,menfer,HC_LP_LF,T10-8
sm,spibet,HC_LP_LF,T10-A36
sm,spipyr,HC_LP_LF,T10-b35
sm,menfer,HC_LP_LF,T11-12
sm,rubpar,HC_LP_LF,T11
sm,spibet,HC_LP_LF,T11
Shecan6,,,
sm,acegla,HC_LP_LF,T12--11
sm,betpap,HC_LP_LF,T12--B
sm,poptre,HC_LP_LF,T12--11
sm,loninv,HC_LP_LF,T13-10
sm,sorsco,HC_LP_LF,T13-xx
sm,vibedu,HC_LP_LF,T13-3
Shecan11,,,
sm,amealn,HC_LP_LF,T14-6
sm,alnvir,HC_LP_LF,T14-6
sm,vacmem,HC_LP_LF,T14-oct21
sm,loninv,HC_LP_LF,T15-10
sm,symalb,HC_LP_LF,T15
sm,spibet,HC_LP_LF,T15
sm,spipyr,HC_LP_LF,T15
sm,menfer,HC_LP_LF,T16-13
sm,spipyr,HC_LP_LF,T16
sm,vibedu,HC_LP_LF,T16-3
Shecan8,,,
sm,alnvir,HC_LP_LF,T17-6
sm,betpap,HC_LP_LF,T17-5
sm,sorsco,HC_LP_LF,T17-12
sm,sorsco,HC_LP_LF,T17-11
sm,menfer,HC_LP_LF,T18-13
sm,riblac,HC_LP_LF,T18-3b
sm,spibet,HC_LP_LF,T18
sm,spibet,HC_LP_LF,T18
sm,betpap,HC_LP_LF,T19-A
sm,sorsco,HC_LP_LF,T19
sm,vibedu,HC_LP_LF,T19-3
sm,shecan,HC_LP_LF,T19-12
sm,amealn,HC_LP_LF,T2-7
sm,corsto,HC_LP_LF,T-10
