site,trt,indiv,flask,species
sm,HC_LP_LF,3,30,amealn
sm,HC_LP_LF,2,30,alninc
sm,HC_LP_LF,2,30,alnvir
sm,HC_LP_LF, b12,30,spipyr
sm,HC_LP_LF,7,31,amealn
sm,HC_LP_LF,1,31,alninc
sm,HC_LP_LF,1,31,menfer
sm,HC_LP_LF,2,31,symalb
sm,HC_LP_LF,15,32,acegla
sm,HC_LP_LF, A,32,bepap
sm,HC_LP_LF,3,32,popbal
sm,HC_LP_LF, A6,32,spibe
sm,HC_LP_LF,8,33,corso
sm,HC_LP_LF,8,33,popbal
sm,HC_LP_LF,,33,rubpar
sm,HC_LP_LF,,33,sorsco
sm,HC_LP_LF,6,33,shecan 
sm,HC_LP_LF,2,34,alnvir
sm,HC_LP_LF,6,34,alnvir
sm,HC_LP_LF,9,34,corso
sm,HC_LP_LF,9,34,vibedu
sm,HC_LP_LF,1,35,amealn
sm,HC_LP_LF,1,35,alninc
sm,HC_LP_LF,7,35,popre
sm,HC_LP_LF, oc 21,35,vacmem
sm,HC_LP_LF,4,36,alninc
sm,HC_LP_LF,9,36,corso
sm,HC_LP_LF,5,36,corso
sm,HC_LP_LF,6,36,vibedu
sm,HC_LP_LF,11,37,loninv
sm,HC_LP_LF, w/10,37,rubpar
sm,HC_LP_LF, xx,37,sorsco
sm,HC_LP_LF,,37,spipyr
sm,HC_LP_LF,3,38,menfer
sm,HC_LP_LF,7,38,popre
sm,HC_LP_LF, xx,38,sorsco
sm,HC_LP_LF, oc21,38,vacmem
sm,HC_LP_LF,13,39,acegla
sm,HC_LP_LF, cl,39,symalb
sm,HC_LP_LF, a11,39,spibe
sm,HC_LP_LF, oc21,39,vacmem
sm,HC_LP_LF,9,4,acegla
sm,HC_LP_LF,10,4,alnvir
sm,HC_LP_LF,9,4,corso
sm,HC_LP_LF,3,4,menfer
sm,HC_LP_LF,7,40,acegla
sm,HC_LP_LF,19,40,alnvir
sm,HC_LP_LF, #1,40,popre
sm,HC_LP_LF, cl,40,rubpar
sm,HC_LP_LF, b,5,popre
sm,HC_LP_LF,,5,rubpar
sm,HC_LP_LF,10,5,shecan
sm,HC_LP_LF,3,5,vibedu
sm,HC_LP_LF,2,6,alnvir
sm,HC_LP_LF,2,6,symalb
sm,HC_LP_LF,,6,sorsco
sm,HC_LP_LF,,6,sorsco
sm,HC_LP_LF,10,7,acegla
sm,HC_LP_LF, D,7,popre
sm,HC_LP_LF,11,7,riblac
sm,HC_LP_LF,2,7,symalb
sm,HC_LP_LF,8,8,corso
sm,HC_LP_LF,8,8,popbal
sm,HC_LP_LF,,8,rubpar
sm,HC_LP_LF, oc25,8,vacmem
sm,HC_LP_LF,14,9,acegla
sm,HC_LP_LF,10,9,loninv
sm,HC_LP_LF,12,9,menfer
sm,HC_LP_LF,12,9,popbal
sm,LC_HP_HF, A,1,amealn
sm,LC_HP_HF,5,1,loninv
sm,LC_HP_HF, C,1,popbal
sm,LC_HP_HF,7,1,shecan
sm,LC_HP_HF, D,10,riblac
sm,LC_HP_HF,,10,rubpar
sm,LC_HP_HF,,10,symalb
sm,LC_HP_HF,,10,symalb
sm,LC_HP_HF,,11,rubpar
sm,LC_HP_HF,,11,spipyr
sm,LC_HP_HF, oc21,11,vacmem
sm,LC_HP_HF, A,12,corso
sm,LC_HP_HF,7,12,loninv
sm,LC_HP_HF,8,12,popre
sm,LC_HP_HF,,12,symalb
sm,LC_HP_HF,10,13,alnvir
sm,LC_HP_HF,8,13,corso
sm,LC_HP_HF,,13cl,rubpar
sm,LC_HP_HF,11,13,sorsco
sm,LC_HP_HF,10,14,acegla
sm,LC_HP_HF,4,14,alninc
sm,LC_HP_HF,3,14,popbal
sm,LC_HP_HF,3,15,menfer
sm,LC_HP_HF,,15,rubpar
sm,LC_HP_HF,,15,spipyr
sm,LC_HP_HF,11,15,shecan
sm,LC_HP_HF,2,16,alninc
sm,LC_HP_HF,10,16,alnvir
sm,LC_HP_HF,11,16,corso
sm,LC_HP_HF, oc21,16,vacmem
sm,LC_HP_HF,8,17,popbal
sm,LC_HP_HF,,17,spibe
sm,LC_HP_HF,,17,symalb
sm,LC_HP_HF,3,17,vibedu
sm,LC_HP_HF, A,18,amealn
sm,LC_HP_HF,5,18,loninv
sm,LC_HP_HF, cl,18,symalb
sm,LC_HP_HF, A,18,sorsco
sm,LC_HP_HF,13,19,acegla
sm,LC_HP_HF, D,19,popre
sm,LC_HP_HF,8,19,riblac
sm,LC_HP_HF, A9,19,spibe
sm,LC_HP_HF,7,2,loninv
sm,LC_HP_HF, A,2,popbal
