site,flask_id,indiv
mp,acegla_HC_LP_HF_5,5
mp,riblac_HC_LP_HF_5,3
mp,samrac_HC_LP_HF_5,2
mp,spipyr_HC_LP_HF_5,
mp,acegla_HC_LP_HF_6,11
mp,menfer_HC_LP_HF_6,7
mp,samrac_HC_LP_HF_6,10
mp,sorsco_HC_LP_HF_6,3
mp,riblac_HC_LP_HF_7,10
mp,sorsco_HC_LP_HF_7,12
mp,symalb_HC_LP_HF_7,LL
mp,vacmem_HC_LP_HF_7,wjt
mp,corsto_HC_LP_HF_8,1
mp,poptre_HC_LP_HF_8,feg
mp,riblac_HC_LP_HF_8,Asf
mp,shecan_HC_LP_HF_8,9
mp,acegla_HC_LP_HF_9,11
mp,riblac_HC_LP_HF_9,6
mp,spibet_HC_LP_HF_9,tml
mp,spipyr_HC_LP_HF_9,wjt
mp,amealn_HC_LP_LF_1,4
mp,rhoalb_HC_LP_LF_1,3
mp,samrac_HC_LP_LF_1,
mp,spibet_HC_LP_LF_1,tml
mp,alninc_HC_LP_LF_10,4
mp,rhoalb_HC_LP_LF_10,4
mp,shecan_HC_LP_LF_10,11
mp,spibet_HC_LP_LF_10,tml
mp,alninc_HC_LP_LF_11,BLL
mp,poptre_HC_LP_LF_11,Feg'
mp,rubpar_HC_LP_LF_11,7
mp,samrac_HC_LP_LF_11,6
mp,menfer_HC_LP_LF_12,2
mp,poptre_HC_LP_LF_12,6
mp,symalb_HC_LP_LF_12,w/9
mp,vibedu_HC_LP_LF_12,4
mp,acegla_HC_LP_LF_13,4
mp,alnvir_HC_LP_LF_13,7
mp,rubpar_HC_LP_LF_13,sg
mp,vibedu_HC_LP_LF_13,4
mp,amealn_HC_LP_LF_14,7
mp,amealn_HC_LP_LF_14,7
mp,popbal_HC_LP_LF_14,10
mp,riblac_HC_LP_LF_14,Bsf
mp,corsto_HC_LP_LF_15,1
mp,riblac_HC_LP_LF_15,bsf
mp,rubpar_HC_LP_LF_15,7
mp,vacmem_HC_LP_LF_15,LL
mp,acegla_HC_LP_LF_16,11
mp,alninc_HC_LP_LF_16,9
mp,corsto_HC_LP_LF_16,2
mp,spibet_HC_LP_LF_16,tml
mp,rhoalb_HC_LP_LF_17,11
mp,riblac_HC_LP_LF_17,4
mp,rubpar_HC_LP_LF_17,tml
mp,rubpar_HC_LP_LF_17,tml
mp,alninc_HC_LP_LF_18,5
