"lab2","lab3","population","treatment","chill","force","photo","species","tbb","latbb1"
"ACEPEN07_SH_12","ACEPEN07_SH_12_chill0_HP_HF","SH","WL0","chill0","HF","HP","ACEPEN",26,NA
"ACEPEN09_SH_07","ACEPEN09_SH_07_chill0_LP_LF","SH","CS0","chill0","LF","LP","ACEPEN",33,NA
"ACEPEN09_SH_10","ACEPEN09_SH_10_LC_HP_LF","SH","CL1","LC","LF","HP","ACEPEN",41,NA
"ACEPEN11_HF_02","ACEPEN11_HF_02_HC_HP_LF","HF","CL2","HC","LF","HP","ACEPEN",46,NA
"ACEPEN11_HF_03","ACEPEN11_HF_03_LC_HP_HF","HF","WL1","LC","HF","HP","ACEPEN",46,NA
"ACEPEN11_HF_04","ACEPEN11_HF_04_chill0_LP_LF","HF","CS0","chill0","LF","LP","ACEPEN",33,NA
"ACEPEN11_HF_07","ACEPEN11_HF_07_chill0_LP_HF","HF","WS0","chill0","HF","LP","ACEPEN",26,NA
"ACEPEN11_HF_08","ACEPEN11_HF_08_HC_LP_LF","HF","CS2","HC","LF","LP","ACEPEN",50,NA
"ACEPEN11_HF_09","ACEPEN11_HF_09_LC_HP_LF","HF","CL1","LC","LF","HP","ACEPEN",46,NA
"ACEPEN11_HF_12","ACEPEN11_HF_12_chill0_HP_LF","HF","CL0","chill0","LF","HP","ACEPEN",32,NA
"ACEPEN11_SH_01","ACEPEN11_SH_01_HC_LP_HF","SH","WS2","HC","HF","LP","ACEPEN",57,NA
"ACEPEN11_SH_02","ACEPEN11_SH_02_LC_HP_LF","SH","CL1","LC","LF","HP","ACEPEN",50,NA
"ACEPEN11_SH_06","ACEPEN11_SH_06_LC_LP_HF","SH","WS1","LC","HF","LP","ACEPEN",49,NA
"ACEPEN11_SH_08","ACEPEN11_SH_08_HC_LP_LF","SH","CS2","HC","LF","LP","ACEPEN",46,NA
"ACEPEN11_SH_10","ACEPEN11_SH_10_HC_HP_HF","SH","WL2","HC","HF","HP","ACEPEN",60,NA
"ACEPEN11_SH_11","ACEPEN11_SH_11_chill0_LP_LF","SH","CS0","chill0","LF","LP","ACEPEN",33,NA
"ACEPEN12_HF_10","ACEPEN12_HF_10_LC_LP_LF","HF","CS1","LC","LF","LP","ACEPEN",42,NA
"ACERUB05_SH_02","ACERUB05_SH_02_HC_HP_LF","SH","CL2","HC","LF","HP","ACERUB",63,NA
"ACERUB05_SH_04","ACERUB05_SH_04_chill0_LP_HF","SH","WS0","chill0","HF","LP","ACERUB",56,NA
"ACERUB08_SH_02","ACERUB08_SH_02_chill0_LP_HF","SH","WS0","chill0","HF","LP","ACERUB",29,NA
"ACERUB08_SH_05","ACERUB08_SH_05_HC_LP_HF","SH","WS2","HC","HF","LP","ACERUB",57,NA
"ACERUB09_SH_01","ACERUB09_SH_01_HC_HP_LF","SH","CL2","HC","LF","HP","ACERUB",56,NA
