"","lab","day","population","chill","photo","force","flask","percent4.t","indiv","tbb","nl","latbb80","latbb50","latbb1","treatment"
"100","mp_HC_HP_HF_33_rubpar",82,"mp","HC","HP","HF",33,NA,"tml",82,1,24,19,19,"HC_HP_HF"
"101","mp_HC_HP_HF_34_alnvir",40,"mp","HC","HP","HF",34,NA,"6",40,1,23,23,23,"HC_HP_HF"
"102","mp_HC_HP_HF_34_loninv",30,"mp","HC","HP","HF",34,50,"6",30,1,NA,NA,NA,"HC_HP_HF"
"103","mp_HC_HP_HF_34_riblac",35,"mp","HC","HP","HF",34,25,"9",35,1,NA,24,13,"HC_HP_HF"
"104","mp_HC_HP_HF_34_samrac",36,"mp","HC","HP","HF",34,NA,"3",36,1,24,23,19,"HC_HP_HF"
"105","mp_HC_HP_HF_35_popbal",79,"mp","HC","HP","HF",35,20,"8",79,1,NA,NA,NA,"HC_HP_HF"
"106","mp_HC_HP_HF_35_rhoalb",47,"mp","HC","HP","HF",35,50,"4",47,1,NA,NA,17,"HC_HP_HF"
"107","mp_HC_HP_HF_35_samrac",75,"mp","HC","HP","HF",35,50,"NA",75,1,NA,NA,NA,"HC_HP_HF"
"108","mp_HC_HP_HF_35_spibet",78,"mp","HC","HP","HF",35,NA,"NA",78,1,24,17,17,"HC_HP_HF"
"109","mp_HC_HP_HF_36_alninc",68,"mp","HC","HP","HF",36,50,"5",68,1,24,24,23,"HC_HP_HF"
"110","mp_HC_HP_HF_36_corsto",60,"mp","HC","HP","HF",36,NA,"10",60,1,24,10,10,"HC_HP_HF"
"111","mp_HC_HP_HF_36_poptre",80,"mp","HC","HP","HF",36,20,"b_ski",80,1,28,28,28,"HC_HP_HF"
"112","mp_HC_HP_HF_37_popbal",76,"mp","HC","HP","HF",37,NA,"8",76,1,NA,NA,NA,"HC_HP_HF"
"113","mp_HC_HP_HF_37_rubpar",18,"mp","HC","HP","HF",37,NA,"tml",18,1,NA,24,17,"HC_HP_HF"
