"","site","chill","photo","force","indiv","flask","species"
"1631","mp","HC","LP","HF","4","20","alninc"
"1632","mp","HC","LP","HF","b_ski","20","poptre"
"1633","mp","HC","LP","HF","7","20","samrac"
"1634","mp","HC","LP","HF","11","21","popbal"
"1635","mp","HC","LP","HF","4","21","rhoalb"
"1636","mp","HC","LP","HF",NA,"21","spipyr"
"1637","mp","HC","LP","HF","w/6","21","symalb"
"1638","mp","HC","LP","HF","1","22","alnvir"
"1639","mp","HC","LP","HF","2","22","amealn"
"1640","mp","HC","LP","HF","5","22","corsto"
"1641","mp","HC","LP","HF","11","22","shecan"
"1642","mp","HC","LP","HF","6","23","alnvir"
"1643","mp","HC","LP","HF","10","23","menfer"
"1644","mp","HC","LP","HF","1","23","rhoalb"
"1645","mp","HC","LP","HF","wjt","23","vacmem"
"1646","mp","HC","LP","HF","3","24","acegla"
"1647","mp","HC","LP","HF",NA,"24","acegla"
"1648","mp","HC","LP","HF","10","24","sorsco"
"1649","mp","HC","LP","HF","9","24","vibedu"
"1650","mp","HC","LP","HF","1","25","alnvir"
"1651","mp","HC","LP","HF","9","25","corsto"
"1652","mp","HC","LP","HF","3","25","riblac"
"1653","mp","HC","LP","HF","11","25","shecan"
"1654","mp","HC","LP","HF","5","26","alninc"
"1655","mp","HC","LP","HF","2","26","alnvir"
"1656","mp","HC","LP","HF","8","26","loninv"
"1657","mp","HC","LP","HF","6","26","popbal"
"1658","mp","HC","LP","HF",NA,"27","loninv"
"1659","mp","HC","LP","HF",NA,"27","shecan"
"1660","mp","HC","LP","HF",NA,"27","spibet"
"1661","mp","HC","LP","HF",NA,"27","vibedu"
"1662","mp","HC","LP","HF","10","28","corsto"
"1663","mp","HC","LP","HF","sf","28","rubpar"
"1664","mp","HC","LP","HF","ll","28","sorsco"
"1665","mp","HC","LP","HF","wjt","28","spipyr"
"1666","mp","HC","LP","HF","6","29","amealn"
"1667","mp","HC","LP","HF","7","29","amealn"
"1668","mp","HC","LP","HF","4","29","menfer"
"1669","mp","HC","LP","HF","10","29","menfer"
