day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,Final.percent,Final.percent,
55,sm,LHH,NA,21,amealn,17,100,1,17,70,11,10,9,5,7,NA,NA,NA,,,
55,sm,LHH,NA,21,menfer,3,100,5,15,25,7,25,3,50,11,y,NA,NA,,,
55,mp,LHH,NA,22,acegla,3,100,1,3,90,1,10,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,9,22,alninc,11,100,1,17,30,15,20,11,10,10,NA,NA,NA,,,
55,mp,LHH,10,22,alninc,17,100,1,15,40,11,70,,,7,NA,NA,NA,,,
55,mp,LHH,10,22,spibet,15,100,1,10,65,9,35,NA,NA,3,NA,NA,NA,,,
55,sm,LHH,NA,22,corsto,17,100,1,17,80,15,20,,,8,y,NA,NA,,,
55,sm,LHH,NA,22,riblac,17,100,1,17,35,11,20,9,20,20,NA,NA,NA,,,
55,sm,LHH,NA,22,shecan,17,100,1,17,90,15,5,3,5,NA,NA,NA,NA,,,
55,sm,LHH,NA,22,spibet,17,60,5,17,60,15,5,3,20,NA,NA,3,20,,,
55,sm,LHH,NA,22,spipyr,1,100,1,17,10,7,10,3,80,NA,NA,NA,NA,,,
55,mp,LHH,NA,23,alnvir,9,50,2,3,100,,,,,5,NA,3,50,,,
55,mp,LHH,NA,23,popbal,17,100,1,17,100,,,NA,NA,4,NA,NA,NA,,,
55,mp,LHH,NA,23,rhoalb,17,100,4,9,20,3,50,1,30,NA,y,7,25,,,
55,mp,LHH,NA,23,vacmem,7,20,NA,17,10,11,10,7,30,10,NA,NA,NA,,,
55,sm,LHH,NA,23,alnvir,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,23,betpap,17,100,1,17,60,11,40,10,20,5,NA,NA,NA,,,
55,sm,LHH,NA,23,menfer,3,30,7,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,5,24,poptre,7,50,4,NA,NA,NA,NA,NA,NA,,NA,3,50,,,
55,mp,LHH,13,24,sorsco,17,100,1,1,100,NA,NA,NA,NA,NA,y,NA,NA,,,
55,mp,LHH,9,24,symalb,NA,NA,NA,11,5,7,15,3,40,NA,NA,NA,NA,,,
55,mp,LHH,wjt,24,vacmem,3,100,NA,17,10,3,80,1,20,NA,NA,0,80,,,
55,sm,LHH,NA,24,acegla,3,100,2,3,50,1,40,0,10,NA,NA,NA,NA,,,
55,sm,LHH,19,24,alnvir,9,100,2,15,5,3,95,NA,NA,14,NA,NA,NA,,,
55,sm,LHH,11,24,loninv,17,100,1,7,15,3,65,1,10,12,y,NA,NA,,,
55,sm,LHH,NA,24,sorsco,17,100,1,3,100,NA,NA,NA,NA,NA,y,NA,NA,,,
55,mp,LHH,NA,25,alninc,NA,NA,NA,17,40,15,40,11,20,5,NA,NA,NA,,,
55,mp,LHH,NA,25,amealn,17,75,4,11,20,9,80,,,42,NA,9,25,,,
55,mp,LHH,NA,25,corsto,17,100,1,17,60,9,40,,,NA,y,NA,NA,,,
55,mp,LHH,NA,25,symalb,NA,NA,NA,15,5,11,10,9,5,NA,NA,NA,NA,,,
55,sm,LHH,NA,25,poptre,17,50,10,NA,NA,NA,NA,NA,NA,NA,NA,15,10,,,
55,sm,LHH,NA,25,shecan,17,70,3,15,80,9,5,3,15,60,NA,15,30,,,
55,sm,LHH,NA,25,spipyr,17,100,2,17,20,15,20,10,20,5,NA,NA,NA,,,
55,sm,LHH,NA,25,symalb,NA,NA,NA,3,10,1,50,0,40,NA,NA,NA,NA,,,
55,mp,LHH,NA,26,acegla,9,20,5,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,26,alnvir,10,100,1,15,10,3,60,1,30,9,NA,NA,NA,,,
55,mp,LHH,A,26,vibedu,17,100,1,3,100,NA,NA,NA,NA,6,NA,NA,NA,,,
55,mp,LHH,NA,26,vibedu,17,100,1,3,100,NA,NA,NA,NA,4,NA,NA,NA,,,
55,sm,LHH,2,26,acegla,11,100,1,9,80,7,10,1,10,10,NA,NA,NA,,,
55,sm,LHH,9,26,acegla,10,50,2,9,35,7,10,1,20,23,NA,7,50,,,
55,sm,LHH,11,26,loninv,3,100,1,17,30,15,25,3,45,13,y,NA,NA,,,
55,sm,LHH, D,26,poptre,17,30,6,17,20,15,10,11,10,46,NA,10,30,,,
55,mp,LHH,NA,27,alninc,17,100,4,11,30,9,30,7,30,13,NA,15,65,,,
55,mp,LHH,NA,27,amealn,15,100,1,17,10,9,80,7,10,27,y,NA,NA,,,
55,mp,LHH,NA,27,samrac,3,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,27,spibet,17,100,1,17,10,7,65,3,25,12,NA,NA,NA,,,
55,sm,LHH,NA,27,alninc,17,100,1,7,100,,,NA,NA,4,NA,NA,NA,,,
55,sm,LHH,NA,27,poptre,17,50,10,3,100,,,,,2,NA,15,10,,,
55,sm,LHH,NA,27,symalb,NA,NA,NA,7,20,3,60,1,20,NA,NA,NA,NA,,,
55,mp,LHH,NA,28,acegla,3,100,1,7,15,3,85,NA,NA,9,NA,NA,NA,,,
55,mp,LHH,NA,28,corsto,17,100,2,17,70,1,30,,,10,y,NA,NA,,,
55,mp,LHH,NA,28,popbal,11,100,1,17,30,11,30,3,40,6,NA,NA,NA,,,
55,mp,LHH,NA,28,vacmem,17,40,NA,17,60,3,40,,,NA,y,10,50,,,
55,sm,LHH,NA,28,acegla,9,100,1,11,10,9,10,3,70,10,NA,NA,NA,,,
55,sm,LHH,NA,28,alninc,15,100,1,17,20,11,20,10,40,5,NA,NA,NA,,,
55,sm,LHH,19,28,alnvir,7,100,3,7,20,3,70,1,10,14,NA,NA,NA,,,
55,sm,LHH,NA,28,poptre,17,20,14,17,40,11,15,3,30,11,NA,15,20,,,
55,mp,LHH,NA,29,rubpar,1,100,1,17,35,15,35,3,30,3,NA,NA,NA,,,
55,mp,LHH,9,29,shecan,17,100,2,17,80,11,15,3,5,60,NA,NA,NA,,,
55,mp,LHH,NA,29,shecan,17,25,4,15,90,9,5,3,5,60,NA,15,75,,,
55,mp,LHH,NA,29,symalb,NA,NA,NA,15,10,7,5,3,10,NA,NA,NA,NA,,,
55,sm,LHH,7,29,shecan,17,50,2,17,95,3,5,,,NA,y,15,50,,,
55,sm,LHH,NA,29,shecan,17,100,1,15,70,11,5,9,5,NA,NA,NA,NA,,,
55,sm,LHH,NA,29,spipyr,17,100,1,15,20,11,60,7,20,NA,NA,NA,NA,,,
55,mp,LHH,NA,30,rubpar,17,100,1,15,20,7,20,3,60,NA,y,NA,NA,,extra poptre,"17=2,11=1"
55,mp,LHH,NA,30,samrac,15,50,2,9,100,NA,NA,NA,NA,NA,NA,9,50,,,
55,mp,LHH,A-branched,30,symalb,NA,NA,NA,17,5,15,5,7,45,NA,NA,NA,NA,,,
