day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments
116,sm,HC_HP_HF,11,19,corsto,17,100,1,15,100,NA,NA,NA,NA,NA,NA,NA,NA,
116,sm,HC_HP_HF,4,19,menfer,0,100,NA,17,25,15,20,9,10,32,y,NA,NA,died and buds dry but green 
116,sm,HC_HP_HF,2,19,symalb,NA,NA,NA,17,20,9,10,0,70,NA,NA,NA,NA,
116,mp,HC_HP_HF,10,20,menfer,0,100,NA,17,15,10,15,9,10,17,y,NA,NA,
116,mp,HC_HP_HF,11,20,rhoalb,17,100,1,17,40,15,20,11,20,12,NA,NA,NA,"Final % budburst is 100, remaining buds at phase 10"
116,mp,HC_HP_HF,8,20,shecan,17,100,5,15,80,11,10,9,10,NA,y,15,50,
116,mp,HC_HP_HF,2,20,spipyr,10,100,1,10,40,9,15,3,30,NA,NA,NA,NA,dead
116,sm,HC_HP_HF, 3b,20,riblac,7,100,2,17,5,15,15,10,20,15,NA,NA,NA,
116,sm,HC_HP_HF,NA,20,spibet,3,100,NA,17,25,11,25,3,25,NA,NA,NA,NA,
116,sm,HC_HP_HF, oc21,20,vacmem,9,10,5,17,20,15,20,3,10,NA,NA,NA,NA,
116,sm,HC_HP_HF, oc21,20,vacmem,7,10,10,17,30,7,10,3,20,NA,NA,NA,NA,
116,mp,HC_HP_HF,11,21,acegla,11,30,3,15,25,9,25,3,50,NA,NA,9,35,dead
116,mp,HC_HP_HF,10,21,sorsco,17,100,1,0,100,NA,NA,NA,NA,3,NA,NA,NA,1/2 remaining buds looks vaible
116,mp,HC_HP_HF,wjt,21,spipyr,3,100,NA,17,20,11,20,9,40,6,NA,NA,NA,
116,mp,HC_HP_HF,9,21,vibedu,17,75,4,11,50,9,25,3,25,4,NA,9,25,
116,sm,HC_HP_HF,5,21,amealn,10,100,6,10,65,9,5,7,15,33,NA,NA,NA,
116,sm,HC_HP_HF,9,21,loninv,NA,NA,NA,17,40,15,40,3,20,8,NA,NA,NA,
116,sm,HC_HP_HF, oc 23,21,vacmem,3,100,NA,17,10,15,20,10,10,NA,NA,NA,NA,
116,mp,HC_HP_HF,A,22,loninv,17,70,3,10,100,NA,NA,NA,NA,1,NA,3,30,
116,mp,HC_HP_HF,6,22,samrac,17,30,3,10,50,9,50,NA,NA,2,NA,11,70,
116,mp,HC_HP_HF,9,22,sorsco,17,100,1,0,100,NA,NA,NA,NA,3,NA,NA,NA,
116,mp,HC_HP_HF,2,22,spipyr,17,25,4,15,10,1,50,0,40,NA,NA,1,75,
116,sm,HC_HP_HF, A,22,betpap,15,100,2,17,15,15,60,11,15,7,NA,10,50,
116,sm,HC_HP_HF,9,22,riblac,17,100,1,17,30,9,30,3,40,7,NA,NA,NA,
116,sm,HC_HP_HF,12,22,shecan,17,100,1,15,40,11,10,10,10,21,y,NA,NA,
116,sm,HC_HP_HF,xx,22,sorsco,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
116,sm,HC_HP_HF,NA,22,symalb,NA,NA,NA,17,5,7,25,3,25,NA,NA,NA,NA,
116,mp,HC_HP_HF,6,23,loninv,17,60,5,9,10,3,90,NA,NA,13,y,10,40,
116,mp,HC_HP_HF,9,23,riblac,10,40,5,15,5,11,20,9,10,23,NA,NA,NA,
116,mp,HC_HP_HF,sg,23,rubpar,11,100,1,17,25,11,25,3,50,NA,y,NA,NA,remaining buds dead
116,mp,HC_HP_HF,wjt,23,symalb,NA,NA,NA,17,20,15,20,11,30,28,NA,NA,NA,
116,sm,HC_HP_HF, A,23,betpap,17,100,1,15,80,11,20,,,10,NA,NA,NA,turning yellow
116,sm,HC_HP_HF, A,23,popbal,17,50,2,NA,NA,NA,NA,NA,NA,NA,NA,15,50,
116,sm,HC_HP_HF, A38,23,spibet,17,100,1,17,25,15,11,10,5,17,NA,NA,NA,
116,mp,HC_HP_HF,G,24,poptre,17,60,8,15,25,11,25,3,50,4,NA,15,40,
116,mp,HC_HP_HF,csf,24,riblac,3,100,6,17,20,15,5,9,20,20,NA,NA,NA,
116,mp,HC_HP_HF,8,24,shecan,17,100,6,15,70,11,30,,,NA,y,,,
116,mp,HC_HP_HF,2,24,vibedu,17,50,4,15,30,3,70,NA,NA,6,NA,11,25,
116,sm,HC_HP_HF,2,24,alnvir,15,50,2,15,10,11,30,9,60,7,NA,9,50,
116,sm,HC_HP_HF,6,24,alnvir,15,25,4,17,15,15,50,10,30,6,NA,11,50,4th term bud phase 10
116,sm,HC_HP_HF, cl,24,symalb,NA,NA,NA,17,15,9,5,7,10,NA,NA,NA,NA,
116,sm,HC_HP_HF, oc 21,24,vacmem,3,100,12,17,30,15,30,3,15,NA,y,NA,NA,
116,mp,HC_HP_HF,10,25,acegla,10,25,4,3,50,0,50,NA,NA,2,NA,7,50,
116,mp,HC_HP_HF,10,25,acegla,3,100,NA,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
116,mp,HC_HP_HF,8,25,popbal,17,100,1,17,100,,,,,3,NA,NA,NA,
116,mp,HC_HP_HF,5,25,samrac,17,50,2,9,50,1,50,NA,NA,NA,NA,3,50,reaminng buds dead
116,sm,HC_HP_HF, A,25,betpap,17,100,1,15,100,NA,NA,NA,NA,3,NA,NA,NA,
116,sm,HC_HP_HF,13,25,corsto,17,100,3,15,85,7,15,NA,NA,6,NA,NA,NA,
116,sm,HC_HP_HF, B,25,poptre,17,50,14,0,100,NA,NA,NA,NA,2,NA,11,50,
116,sm,HC_HP_HF, cl,25,rubpar,0,100,1,17,20,10,20,7,20,5,y,NA,NA,buds died
116,sm,HC_HP_HF,extra,25,vibedu,17,100,2,3,100,NA,NA,NA,NA,4,NA,NA,NA,
116,mp,HC_HP_HF,6,26,loninv,17,30,6,1,100,NA,NA,NA,NA,5,y,15,30,remaining buds dead
116,mp,HC_HP_HF,6,26,riblac,17,100,1,11,30,10,20,7,30,10,NA,NA,NA,
116,mp,HC_HP_HF,10,26,sorsco,15,100,1,9,50,3,50,NA,NA,2,NA,NA,NA,
116,mp,HC_HP_HF,9,26,vibedu,17,30,3,15,65,3,30,1,5,9,y,3,70,
116,sm,HC_HP_HF,11,26,menfer,0,100,NA,15,20,11,20,10,20,10,NA,NA,NA,died
116,sm,HC_HP_HF,12,26,menfer,0,100,NA,17,5,15,10,10,10,24,y,NA,NA,lateral: 7 30%
116,sm,HC_HP_HF,NA,26,rubpar,1,100,NA,17,25,9,25,3,50,3,NA,NA,NA,lateral buds dead
116,sm,HC_HP_HF,7,26,shecan,17,100,1,15,70,11,5,10,5,18,y,NA,NA,
116,mp,HC_HP_HF,7,27,amealn,15,100,3,15,35,10,45,9,20,19,y,NA,NA,buds at stage 9 are dead
116,mp,HC_HP_HF,7,27,rubpar,1,100,NA,17,25,11,25,1,50,4,y,NA,NA,sv
116,mp,HC_HP_HF,8,27,shecan,9,30,6,15,80,9,15,3,5,NA,y,3,85,
116,mp,HC_HP_HF,tml,27,vacmem,17,10,NA,17,20,3,60,NA,NA,NA,NA,7,5,
116,sm,HC_HP_HF,15,27,acegla,10,100,1,15,10,10,20,9,40,10,NA,NA,NA,
116,sm,HC_HP_HF, B,27,betpap,17,50,2,15,50,11,15,10,30,6,NA,15,50,remaining buds dead
116,sm,HC_HP_HF,6,27,sorsco,15,100,1,0,100,NA,NA,NA,NA,4,NA,NA,NA,sv
116,sm,HC_HP_HF, oc21,27,vacmem,17,5,8,17,5,15,10,3,40,NA,y,3,95,
116,mp,HC_HP_HF,5,28,alninc,17,100,1,17,100,,,NA,5,NA,NA,NA,NA,
