day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t
27,sm,LHH,NA,22,shecan,10,100,1,10,30,9,50,7,15,NA,NA,NA,NA
27,sm,LHH,NA,22,spibet,15,20,5,15,20,11,40,7,20,NA,NA,10,40
27,sm,LHH,NA,22,spipyr,1,100,1,10,10,7,10,3,80,NA,NA,NA,NA
27,mp,LHH,NA,23,alnvir,3,50,2,3,40,1,40,0,20,5,NA,NA,NA
27,mp,LHH,NA,23,popbal,7,100,1,7,75,3,25,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,23,rhoalb,10,100,4,7,10,3,50,1,25,NA,NA,7,25
27,mp,LHH,NA,23,vacmem,7,20,NA,9,10,7,10,3,60,NA,NA,NA,NA
27,sm,LHH,NA,23,alnvir,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,23,betpap,10,100,1,11,20,10,40,9,20,NA,NA,NA,NA
27,sm,LHH,NA,23,menfer,1,30,7,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,5,24,poptre,1,100,2,1,100,NA,NA,NA,NA,2,NA,NA,NA
27,mp,LHH,13,24,sorsco,10,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,9,24,symalb,NA,NA,NA,1,20,0,80,NA,NA,NA,NA,NA,NA
27,mp,LHH,wjt,24,vacmem,3,100,NA,9,15,3,80,1,20,NA,NA,0,80
27,sm,LHH,NA,24,acegla,3,100,2,3,50,1,40,0,10,NA,NA,NA,NA
27,sm,LHH,19,24,alnvir,3,100,1,3,65,1,35,NA,NA,14,NA,NA,NA
27,sm,LHH,11,24,loninv,11,100,1,7,15,3,65,1,10,12,NA,NA,NA
27,sm,LHH,NA,24,sorsco,10,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,25,alninc,1,100,1,7,60,3,40,NA,NA,5,NA,NA,NA
27,mp,LHH,NA,25,amealn,10,100,4,9,100,,,,,42,NA,7,25
27,mp,LHH,NA,25,corsto,15,100,1,15,40,10,20,7,20,NA,NA,NA,NA
27,mp,LHH,NA,25,symalb,NA,NA,NA,3,80,1,20,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,25,poptre,3,100,4,1,60,0,40,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,25,shecan,10,70,3,9,10,7,10,3,70,60,NA,NA,NA
27,sm,LHH,NA,25,spipyr,10,100,2,10,20,7,20,3,60,NA,NA,NA,NA
27,sm,LHH,NA,25,symalb,NA,NA,NA,3,10,1,50,0,40,NA,NA,NA,NA
27,mp,LHH,NA,26,acegla,7,20,5,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,26,alnvir,3,100,2,3,60,1,20,0,20,9,NA,NA,NA
27,mp,LHH,A,26,vibedu,9,100,1,3,100,NA,NA,NA,NA,6,NA,NA,NA
27,mp,LHH,NA,26,vibedu,10,100,1,3,100,NA,NA,NA,NA,4,NA,NA,NA
27,sm,LHH,2,26,acegla,1,100,1,1,50,0,50,NA,NA,NA,NA,NA,NA
27,sm,LHH,9,26,acegla,7,100,2,7,15,3,45,1,20,23,NA,NA,NA
27,sm,LHH,11,26,loninv,3,100,1,17,15,11,15,7,25,13,NA,NA,NA
27,sm,LHH, D,26,popre,1,100,6,1,20,0,80,NA,NA,46,NA,NA,NA
27,mp,LHH,NA,27,alninc,9,35,3,3,25,1,75,NA,NA,13,NA,NA,NA
27,mp,LHH,NA,27,amealn,9,100,1,11,10,9,60,7,10,27,NA,NA,NA
27,mp,LHH,NA,27,samrac,1,100,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,27,spibet,9,100,1,9,10,3,30,1,60,12,NA,NA,NA
27,sm,LHH,NA,27,alninc,3,100,1,1,40,0,60,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,27,poptre,17,20,5,10,30,7,10,3,60,18,NA,9,60
27,sm,LHH,NA,27,symalb,NA,NA,NA,7,20,3,60,1,20,NA,NA,NA,NA
27,mp,LHH,NA,28,acegla,3,100,1,3,100,NA,NA,NA,NA,9,NA,NA,NA
27,mp,LHH,NA,28,corsto,15,100,2,15,30,10,40,1,30,10,NA,NA,NA
27,mp,LHH,NA,28,popbal,1,100,1,9,30,3,70,,,7,NA,NA,NA
27,mp,LHH,NA,28,vacmem,17,40,NA,15,15,11,40,7,5,NA,y,10,50
27,sm,LHH,NA,28,acegla,7,100,1,1,60,0,40,NA,NA,10,NA,NA,NA
27,sm,LHH,NA,28,alninc,1,100,1,1,100,NA,NA,NA,NA,5,NA,NA,NA
27,sm,LHH,19,28,alnvir,3,100,3,3,65,1,35,NA,NA,14,NA,NA,NA
27,sm,LHH,NA,28,poptre,1,100,1,1,80,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,29,rubpar,10,100,1,9,65,3,35,NA,NA,3,NA,NA,NA
27,mp,LHH,9,29,shecan,7,100,2,9,60,7,20,3,20,60,NA,NA,NA
27,mp,LHH,NA,29,shecan,7,100,4,9,70,7,5,3,25,60,NA,NA,NA
27,mp,LHH,NA,29,symalb,NA,NA,NA,1,50,0,50,NA,NA,NA,NA,NA,NA
27,sm,LHH,7,29,shecan,3,100,2,9,30,7,30,3,40,NA,y,NA,NA
27,sm,LHH,NA,29,shecan,7,100,1,9,70,7,20,3,10,NA,NA,NA,NA
27,sm,LHH,NA,29,spipyr,11,100,1,9,10,3,90,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,30,rubpar,10,100,1,9,20,7,20,3,60,NA,NA,NA,NA
27,mp,LHH,NA,30,samrac,11,50,2,7,100,NA,NA,NA,NA,NA,NA,9,50
27,mp,LHH,A-tape,30,symalb,NA,NA,NA,3,50,1,50,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,30,symalb,NA,NA,NA,7,10,3,50,1,20,NA,NA,NA,NA
27,sm,LHH,NA,30,popbal,1,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA
