day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments,
113,sm,LHH,NA,27,alninc,17,100,1,7,100,NA,NA,NA,NA,4,NA,NA,NA,,
113,sm,LHH,NA,27,poptre,17,90,10,3,100,NA,NA,NA,NA,2,NA,15,10,,
113,sm,LHH,NA,27,symalb,NA,NA,NA,11,5,10,15,9,5,NA,NA,NA,NA,sv,
113,mp,LHH,NA,28,acegla,3,100,1,17,15,7,10,3,75,9,y,NA,NA,dead,
113,mp,LHH,NA,28,corsto,17,100,2,17,70,1,30,NA,NA,10,y,NA,NA,,
113,mp,LHH,NA,28,popbal,17,100,1,17,50,11,15,3,35,6,NA,NA,NA,buds dead,
113,mp,LHH,NA,28,vacmem,17,40,NA,17,60,3,40,NA,NA,NA,y,10,50,,
113,sm,LHH,NA,28,acegla,9,100,1,15,10,10,10,3,70,10,NA,NA,NA,died,
113,sm,LHH,NA,28,alninc,15,100,1,17,40,10,40,9,20,5,NA,NA,NA,,
113,sm,LHH,19,28,alnvir,17,70,3,17,5,15,10,11,30,14,NA,11,30,,
113,sm,LHH,NA,28,poptre,17,40,14,17,65,15,20,9,10,11,NA,11,20,50% remaining buds viable,
113,mp,LHH,NA,29,rubpar,1,100,1,17,70,3,30,,,3,NA,NA,NA,3rd bud dead,
113,mp,LHH,9,29,shecan,17,100,2,17,80,11,15,3,5,60,NA,NA,NA,,
113,mp,LHH,NA,29,shecan,17,25,4,15,90,9,5,3,5,60,NA,15,75,,
113,mp,LHH,NA,29,symalb,NA,NA,NA,17,10,7,5,3,10,NA,NA,NA,NA,"dead, buds green bud dry inside",
113,sm,LHH,7,29,shecan,17,50,2,17,95,3,5,NA,NA,NA,y,15,50,,
113,sm,LHH,NA,29,shecan,17,100,1,15,70,11,5,9,5,NA,NA,NA,NA,,
113,sm,LHH,NA,29,spipyr,17,100,1,15,20,11,60,7,20,NA,NA,NA,NA,,
113,mp,LHH,NA,30,rubpar,17,100,1,15,20,7,20,3,60,5,y,NA,NA,extra poptre,"17=2,11=1"
113,mp,LHH,NA,30,samrac,15,50,2,9,100,NA,NA,NA,NA,2,NA,10,50,,
113,mp,LHH,A-branched,30,symalb,NA,NA,NA,17,5,15,5,7,45,NA,NA,NA,NA,,
113,mp,LHH,NA,30,symalb,NA,NA,NA,17,5,7,35,3,50,NA,NA,NA,NA,,
113,sm,LHH,NA,30,popbal,7,100,1,17,20,11,20,3,60,5,NA,NA,NA,sv,
113,sm,LHH,NA,30,rubpar,17,100,1,15,25,3,75,NA,NA,NA,y,NA,NA,other buds dead,
113,sm,LHH,NA,30,spipyr,9,100,1,17,10,9,10,3,50,22,NA,NA,NA,remaining buds dead,
113,sm,LHH,NA,30,vacmem,17,10,NA,17,45,11,5,9,5,NA,y,3,90,,
113,mp,LHH,NA,31,corsto,17,100,1,17,25,3,35,1,50,8,NA,NA,NA,,
113,mp,LHH,NA,31,riblac,9,100,4,11,10,9,5,7,10,36,NA,NA,NA,,
113,mp,LHH,A,31,vacmem,17,30,NA,11,30,10,10,3,60,NA,y,7,20,,
113,mp,LHH,B,31,vacmem,1,80,NA,17,20,10,10,7,5,NA,NA,NA,NA,,
113,sm,LHH,NA,31,alninc,17,65,3,11,25,9,40,7,25,8,NA,15,35,remaining bud green inside but dry,
113,sm,LHH,NA,31,amealn,17,100,1,17,10,15,20,9,70,9,NA,NA,NA,,
113,sm,LHH,NA,31,betpap,17,100,1,17,25,15,25,11,25,8,NA,NA,NA,"2 buds at stage 9, but died",
113,sm,LHH,NA,31,loninv,3,100,3,15,15,11,15,3,50,14,NA,NA,NA,remaining buds dead,
113,mp,LHH,NA,32,alninc,17,100,1,17,10,15,60,7,20,10,NA,NA,NA,,
113,mp,LHH,NA,32,poptre,17,70,3,NA,NA,NA,NA,NA,NA,2,NA,3,30,,
113,mp,LHH,NA,32,sorsco,17,100,1,3,100,NA,NA,NA,NA,3,y,NA,NA,,
113,mp,LHH,A,32,spibet,9,100,3,9,80,7,20,,,10,NA,NA,NA,,
113,mp,LHH,B,32,spibet,1,100,6,9,70,3,10,1,20,51,NA,NA,NA,,
113,sm,LHH,NA,32,alnvir,17,30,6,17,10,11,20,7,20,10,NA,15,30,dead,
113,sm,LHH,NA,32,betpap,17,50,2,17,50,11,50,NA,NA,NA,NA,15,50,,
113,sm,LHH,NA,32,popbal,17,100,1,17,85,15,15,NA,NA,6,NA,NA,NA,,
113,sm,LHH,NA,32,rubpar ,1,100,2,17,30,7,15,3,55,7,NA,NA,NA,remaining buds dead,
113,mp,LHH,NA,33,amealn,17,100,1,17,10,11,5,9,85,17,NA,NA,NA,,
113,mp,LHH,NA,33,menfer,3,100,4,17,10,9,20,3,20,22,NA,NA,NA,,
113,mp,LHH,NA,33,popbal,17,100,1,17,30,15,35,7,35,NA,NA,NA,NA,,
113,mp,LHH,NA,33,vacmem,17,20,NA,17,20,11,10,NA,NA,NA,NA,15,30,,
113,sm,LHH,13,33,acegla,3,100,4,17,50,15,50,NA,NA,2,NA,NA,NA,,
113,sm,LHH, b12,33,spipyr,17,100,1,17,25,9,25,3,50,NA,NA,NA,NA,,
113,sm,LHH,4,33,vibedu,17,100,1,17,40,11,10,7,10,10,NA,NA,NA,,
113,sm,LHH,extra- branched,33,vibedu,17,60,5,17,50,3,50,NA,NA,2,NA,10,20,,
113,mp,LHH,NA,34,menfer,3,100,10,17,10,9,10,NA,NA,32,y,NA,NA,,
113,mp,LHH,NA,34,popbal,17,100,1,15,25,10,25,3,50,NA,NA,NA,NA,,
113,mp,LHH,NA,34,rubpar,17,100,1,17,25,7,25,NA,NA,NA,y,NA,NA,,
