"lab2","latbb1","latbb50","latbb80","treatment","tbb","population","chill","photo","force","flask","species","rep","lab3","chill.n","force.n","photo.n","site.n"
"alninc_mp_2",15,19,25,"HC.HP.HF",15,"mp","HC","HP","HF",33,"alninc",2,"mp.HC.HP.HF.33.alninc.2",1,1,1,0
"amealn_mp_1",7,7,10,"HC.HP.HF",7,"mp","HC","HP","HF",33,"amealn",1,"mp.HC.HP.HF.33.amealn.1",1,1,1,0
"rubpar_mp_1",19,19,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",33,"rubpar",1,"mp.HC.HP.HF.33.rubpar.1",1,1,1,0
"alnvir_mp_1",23,23,23,"HC.HP.HF",23,"mp","HC","HP","HF",34,"alnvir",1,"mp.HC.HP.HF.34.alnvir.1",1,1,1,0
"loninv_mp_1",NA,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",34,"loninv",1,"mp.HC.HP.HF.34.loninv.1",1,1,1,0
"riblac_mp_1",13,NA,NA,"HC.HP.HF",13,"mp","HC","HP","HF",34,"riblac",1,"mp.HC.HP.HF.34.riblac.1",1,1,1,0
"samrac_mp_1",19,23,51,"HC.HP.HF",13,"mp","HC","HP","HF",34,"samrac",1,"mp.HC.HP.HF.34.samrac.1",1,1,1,0
"popbal_mp_1",NA,NA,NA,"HC.HP.HF",17,"mp","HC","HP","HF",35,"popbal",1,"mp.HC.HP.HF.35.popbal.1",1,1,1,0
"rhoalb_mp_1",17,NA,NA,"HC.HP.HF",13,"mp","HC","HP","HF",35,"rhoalb",1,"mp.HC.HP.HF.35.rhoalb.1",1,1,1,0
"samrac_mp_1",NA,NA,NA,"HC.HP.HF",13,"mp","HC","HP","HF",35,"samrac",1,"mp.HC.HP.HF.35.samrac.1",1,1,1,0
"spibet_mp_1",17,17,NA,"HC.HP.HF",17,"mp","HC","HP","HF",35,"spibet",1,"mp.HC.HP.HF.35.spibet.1",1,1,1,0
"alninc_mp_1",23,25,25,"HC.HP.HF",23,"mp","HC","HP","HF",36,"alninc",1,"mp.HC.HP.HF.36.alninc.1",1,1,1,0
"corsto_mp_1",10,10,25,"HC.HP.HF",10,"mp","HC","HP","HF",36,"corsto",1,"mp.HC.HP.HF.36.corsto.1",1,1,1,0
"poptre_mp_1",28,28,28,"HC.HP.HF",31,"mp","HC","HP","HF",36,"poptre",1,"mp.HC.HP.HF.36.poptre.1",1,1,1,0
"poptre_mp_2",NA,NA,NA,"HC.HP.HF",31,"mp","HC","HP","HF",36,"poptre",2,"mp.HC.HP.HF.36.poptre.2",1,1,1,0
"popbal_mp_1",NA,NA,NA,"HC.HP.HF",17,"mp","HC","HP","HF",37,"popbal",1,"mp.HC.HP.HF.37.popbal.1",1,1,1,0
"rubpar_mp_1",17,NA,NA,"HC.HP.HF",17,"mp","HC","HP","HF",37,"rubpar",1,"mp.HC.HP.HF.37.rubpar.1",1,1,1,0
"symalb_mp_1",13,NA,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",37,"symalb",1,"mp.HC.HP.HF.37.symalb.1",1,1,1,0
"vibedu_mp_1",NA,NA,NA,"HC.HP.HF",19,"mp","HC","HP","HF",37,"vibedu",1,"mp.HC.HP.HF.37.vibedu.1",1,1,1,0
"corsto_mp_1",7,10,10,"HC.HP.HF",7,"mp","HC","HP","HF",38,"corsto",1,"mp.HC.HP.HF.38.corsto.1",1,1,1,0
"popbal_mp_1",NA,NA,NA,"HC.HP.HF",17,"mp","HC","HP","HF",38,"popbal",1,"mp.HC.HP.HF.38.popbal.1",1,1,1,0
"riblac_mp_1",26,NA,NA,"HC.HP.HF",26,"mp","HC","HP","HF",38,"riblac",1,"mp.HC.HP.HF.38.riblac.1",1,1,1,0
"vacmem_mp_1",10,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",38,"vacmem",1,"mp.HC.HP.HF.38.vacmem.1",1,1,1,0
"alnvir_mp_1",23,26,26,"HC.HP.HF",26,"mp","HC","HP","HF",39,"alnvir",1,"mp.HC.HP.HF.39.alnvir.1",1,1,1,0
"menfer_mp_1",23,28,37,"HC.HP.HF",NA,"mp","HC","HP","HF",39,"menfer",1,"mp.HC.HP.HF.39.menfer.1",1,1,1,0
"rhoalb_mp_1",13,NA,NA,"HC.HP.HF",13,"mp","HC","HP","HF",39,"rhoalb",1,"mp.HC.HP.HF.39.rhoalb.1",1,1,1,0
"sorsco_mp_1",NA,NA,NA,"HC.HP.HF",13,"mp","HC","HP","HF",39,"sorsco",1,"mp.HC.HP.HF.39.sorsco.1",1,1,1,0
"popbal_mp_1",19,19,19,"HC.HP.HF",19,"mp","HC","HP","HF",4,"popbal",1,"mp.HC.HP.HF.4.popbal.1",1,1,1,0
"sorsco_mp_1",13,13,16,"HC.HP.HF",19,"mp","HC","HP","HF",4,"sorsco",1,"mp.HC.HP.HF.4.sorsco.1",1,1,1,0
"symalb_mp_1",10,10,26,"HC.HP.HF",NA,"mp","HC","HP","HF",4,"symalb",1,"mp.HC.HP.HF.4.symalb.1",1,1,1,0
"vacmem_mp_1",16,NA,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",4,"vacmem",1,"mp.HC.HP.HF.4.vacmem.1",1,1,1,0
"alnvir_mp_1",19,22,22,"HC.HP.HF",19,"mp","HC","HP","HF",40,"alnvir",1,"mp.HC.HP.HF.40.alnvir.1",1,1,1,0
"corsto_mp_1",10,10,19,"HC.HP.HF",10,"mp","HC","HP","HF",40,"corsto",1,"mp.HC.HP.HF.40.corsto.1",1,1,1,0
"spipyr_mp_1",10,26,NA,"HC.HP.HF",10,"mp","HC","HP","HF",40,"spipyr",1,"mp.HC.HP.HF.40.spipyr.1",1,1,1,0
"vibedu_mp_1",10,NA,NA,"HC.HP.HF",12,"mp","HC","HP","HF",40,"vibedu",1,"mp.HC.HP.HF.40.vibedu.1",1,1,1,0
"alnvir_mp_1",34,57,57,"HC.HP.HF",60,"mp","HC","HP","HF",5,"alnvir",1,"mp.HC.HP.HF.5.alnvir.1",1,1,1,0
"corsto_mp_1",7,10,10,"HC.HP.HF",7,"mp","HC","HP","HF",5,"corsto",1,"mp.HC.HP.HF.5.corsto.1",1,1,1,0
"menfer_mp_1",40,48,72,"HC.HP.HF",NA,"mp","HC","HP","HF",5,"menfer",1,"mp.HC.HP.HF.5.menfer.1",1,1,1,0
"symalb_mp_1",10,13,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",5,"symalb",1,"mp.HC.HP.HF.5.symalb.1",1,1,1,0
"loninv_mp_1",NA,NA,NA,"HC.HP.HF",5,"mp","HC","HP","HF",6,"loninv",1,"mp.HC.HP.HF.6.loninv.1",1,1,1,0
"rubpar_mp_1",19,31,NA,"HC.HP.HF",31,"mp","HC","HP","HF",6,"rubpar",1,"mp.HC.HP.HF.6.rubpar.1",1,1,1,0
"spipyr_mp_1",7,7,7,"HC.HP.HF",10,"mp","HC","HP","HF",6,"spipyr",1,"mp.HC.HP.HF.6.spipyr.1",1,1,1,0
"symalb_mp_1",10,10,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",6,"symalb",1,"mp.HC.HP.HF.6.symalb.1",1,1,1,0
"alnvir_mp_1",31,31,48,"HC.HP.HF",31,"mp","HC","HP","HF",7,"alnvir",1,"mp.HC.HP.HF.7.alnvir.1",1,1,1,0
"popbal_mp_1",19,19,19,"HC.HP.HF",19,"mp","HC","HP","HF",7,"popbal",1,"mp.HC.HP.HF.7.popbal.1",1,1,1,0
"rubpar_mp_1",19,19,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",7,"rubpar",1,"mp.HC.HP.HF.7.rubpar.1",1,1,1,0
"shecan_mp_1",16,26,28,"HC.HP.HF",19,"mp","HC","HP","HF",7,"shecan",1,"mp.HC.HP.HF.7.shecan.1",1,1,1,0
"acegla_mp_1",31,34,NA,"HC.HP.HF",19,"mp","HC","HP","HF",8,"acegla",1,"mp.HC.HP.HF.8.acegla.1",1,1,1,0
"alninc_mp_1",13,13,16,"HC.HP.HF",10,"mp","HC","HP","HF",8,"alninc",1,"mp.HC.HP.HF.8.alninc.1",1,1,1,0
"poptre_mp_1",31,37,NA,"HC.HP.HF",34,"mp","HC","HP","HF",8,"poptre",1,"mp.HC.HP.HF.8.poptre.1",1,1,1,0
"rubpar_mp_1",19,19,NA,"HC.HP.HF",51,"mp","HC","HP","HF",8,"rubpar",1,"mp.HC.HP.HF.8.rubpar.1",1,1,1,0
"corsto_mp_1",8,8,10,"HC.HP.HF",8,"mp","HC","HP","HF",9,"corsto",1,"mp.HC.HP.HF.9.corsto.1",1,1,1,0
"riblac_mp_1",19,NA,NA,"HC.HP.HF",28,"mp","HC","HP","HF",9,"riblac",1,"mp.HC.HP.HF.9.riblac.1",1,1,1,0
"rubpar_mp_1",19,NA,NA,"HC.HP.HF",19,"mp","HC","HP","HF",9,"rubpar",1,"mp.HC.HP.HF.9.rubpar.1",1,1,1,0
"vacmem_mp_1",13,NA,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",9,"vacmem",1,"mp.HC.HP.HF.9.vacmem.1",1,1,1,0
"amealn_mp_1",20,22,22,"HC.HP.LF",20,"mp","HC","HP","LF",1,"amealn",1,"mp.HC.HP.LF.1.amealn.1",1,0,1,0
"menfer_mp_1",49,82,NA,"HC.HP.LF",NA,"mp","HC","HP","LF",1,"menfer",1,"mp.HC.HP.LF.1.menfer.1",1,0,1,0
"shecan_mp_1",22,27,27,"HC.HP.LF",27,"mp","HC","HP","LF",1,"shecan",1,"mp.HC.HP.LF.1.shecan.1",1,0,1,0
"shecan_mp_2",27,36,NA,"HC.HP.LF",22,"mp","HC","HP","LF",1,"shecan",2,"mp.HC.HP.LF.1.shecan.2",1,0,1,0
"alninc_mp_1",NA,NA,NA,"HC.HP.LF",24,"mp","HC","HP","LF",10,"alninc",1,"mp.HC.HP.LF.10.alninc.1",1,0,1,0
"menfer_mp_1",43,43,49,"HC.HP.LF",NA,"mp","HC","HP","LF",10,"menfer",1,"mp.HC.HP.LF.10.menfer.1",1,0,1,0
"popbal_mp_1",NA,NA,NA,"HC.HP.LF",27,"mp","HC","HP","LF",10,"popbal",1,"mp.HC.HP.LF.10.popbal.1",1,0,1,0
"popbal_mp_2",36,36,36,"HC.HP.LF",27,"mp","HC","HP","LF",10,"popbal",2,"mp.HC.HP.LF.10.popbal.2",1,0,1,0
"amealn_mp_1",20,20,20,"HC.HP.LF",13,"mp","HC","HP","LF",11,"amealn",1,"mp.HC.HP.LF.11.amealn.1",1,0,1,0
"popbal_mp_1",NA,NA,NA,"HC.HP.LF",27,"mp","HC","HP","LF",11,"popbal",1,"mp.HC.HP.LF.11.popbal.1",1,0,1,0
"shecan_mp_1",20,30,33,"HC.HP.LF",23,"mp","HC","HP","LF",11,"shecan",1,"mp.HC.HP.LF.11.shecan.1",1,0,1,0
"symalb_mp_1",16,20,33,"HC.HP.LF",NA,"mp","HC","HP","LF",11,"symalb",1,"mp.HC.HP.LF.11.symalb.1",1,0,1,0
"samrac_mp_1",NA,NA,NA,"HC.HP.LF",20,"mp","HC","HP","LF",12,"samrac",1,"mp.HC.HP.LF.12.samrac.1",1,0,1,0
